"Industry","Total_Startups"
"IT Services",17968
"Healthcare & Lifesciences",14562
"Education",9204
"Agriculture",8737
"Construction",8360
"Food & Beverages",8233
"Professional & Commercial Services",7906
"Technology Hardware",5209
"Finance Technology",4831
"Renewable Energy",4446
"Others",3775
"Human Resources",3549
"Automotive",3460
"Retail",3396
"Green Technology",3301
"AI",3017
"Marketing",2939
"Textiles & Apparel",2732
"Fashion",2699
"Enterprise Software",2653
"Travel & Tourism",2569
"Media & Entertainment",2338
"Transportation & Storage",2302
"Non- Renewable Energy",2139
"Internet of Things",1865
"Security Solutions",1676
"Aeronautics Aerospace & Defence",1665
"Chemicals",1663
"Real Estate",1589
"Other Specialty Retailers",1415
"Telecommunication & Networking",1413
"Waste Management",1328
"Advertising",1174
"House-Hold Services",1136
"Architecture Interior Design",1023
"Design",987
"Social Impact",944
"Analytics",912
"Social Network",896
"Logistics",877
"Sports",764
"Robotics",750
"AR VR (Augmented + Virtual Reality)",699
"Events",691
"Biotechnology",587
"Art & Photography",562
"Indic Language Startups",513
"Toys and Games",491
"Safety",462
"Pets & Animals",426
"Computer Vision",318
"Nanotechnology",215
"Animation",159
"Dating Matrimonial",120
"Passenger Experience",32
"Airport Operations",28
